1;China;Chine;中国;中國;﻿China;﻿China;﻿중국;﻿中国;﻿China;10;12;46;11;11;31;44;8
2;Canada;Canada;加拿大;加拿大;Canadá;Canadá;캐나다;カナダ;Kanada;8;10;20;9;9;34;10;20
3;France;France;法国;法國;Francia;França;프랑스;フランス;Frankreich;17;20;14;20;20;41;30;14
4;England;Angleterre;英国;英國;Inglaterra;Inglaterra;영국;イングランド;England;15;2;44;25;26;26;5;12
5;Belgium;Belgique;比利时;比利時;Bélgica;Bélgica;벨기에;ベルギー;Belgien;5;7;7;6;6;16;34;4
6;Spain;Espagne;西班牙;西班牙;España;Espanha;스페인;スペイン;Spanien;38;17;36;16;16;21;16;37
7;Russia;Russie;俄罗斯;俄羅斯;Rusia;Rússia;러시아;ロシア;Russland;35;39;13;39;39;10;40;33
8;Austria;Autriche;奥地利;奧地利;Austria;Áustria;오스트리아;オーストリア;Österreich;4;6;4;5;5;27;8;27
9;Germany;Allemagne;德国;德國;Alemania;Alemanha;독일;ドイツ;Deutschland;18;1;11;1;1;9;21;10
10;Armenia;Arménie;亚美尼亚;亞美尼亞;Armenia;Armênia;아르메니아;アルメニア;Armenien;2;4;41;3;3;24;3;2
11;Netherlands;Pays-Bas;荷兰;荷蘭;Países Bajos;Holanda;네덜란드;オランダ;Niederlande;27;31;19;32;22;2;9;25
12;Bulgaria;Bulgarie;保加利亚;保加利亞;Bulgaria;Bulgária;불가리아;ブルガリア;Bulgarien;7;9;5;8;8;17;31;6
13;Czech Republic;République tchèque;捷克共和国;捷克共和國;República Checa;República Tcheca;체코 공화국;チェコ共和国;Tschechische Republik;12;37;21;36;37;32;18;41
14;Italy;Italie;意大利;意大利;Italia;Itália;이탈리아;イタリア;Italien;23;25;42;26;27;28;4;18
15;Hong Kong;Hong Kong;香港;香港;Hong Kong;Hong Kong;홍콩;香港;Hong Kong;20;22;35;22;23;46;42;16
16;South Korea;Corée du Sud;韩国;韓國;Corea del Sur;Coréia do Sul;대한민국;韓国;Südkorea;37;14;18;13;13;6;41;38
17;Taiwan;Taïwan;台湾;台灣;Taiwán;Taiwan;대만;台湾;Taiwan;41;43;32;44;44;5;43;39
18;Thailand;Thailande;泰国;泰國;Tailandia;Tailândia;태국;タイ;Thailand;42;44;31;43;43;36;17;40
19;Finland;Finlande;芬兰;芬蘭;Finlandia;Finlândia;핀란드;フィンランド;Finnland;16;19;16;19;19;42;28;13
20;Turkey;Turquie;土耳其;土耳其;Turquía;Turquia;터키;トルコ;Türkei;43;45;33;45;45;37;23;42
21;Denmark;Danemark;丹麦;丹麥;Dinamarca;Dinamarca;덴마크;デンマーク;Dänemark;13;15;10;14;14;7;20;9
22;Portugal;Portugal;葡萄牙;葡萄牙;Portugal;Portugal;포르투갈;ポルトガル;Portugal;33;35;27;35;35;39;35;31
23;Poland;Pologne;波兰;波蘭;Polonia;Polônia;폴란드;ポーランド;Polen;32;34;9;34;34;40;36;30
24;Norway;Norvège;挪威;挪威;Noruega;Noruega;노르웨이;ノルウェー;Norwegen;29;29;26;30;31;3;25;26
25;Hungary;Hongrie;匈牙利;匈牙利;Hungría;Hungria;헝가리;ハンガリー;Ungarn;21;23;40;23;24;44;26;43
26;Romania;Roumanie;罗马尼亚;羅馬尼亞;Rumania;Romênia;루마니아;ルーマニア;Rumänien;34;38;22;38;38;11;39;32
27;Sweden;Suède;瑞典;瑞典;Suecia;Suécia;스웨덴;スウェーデン;Schweden;39;41;29;41;41;19;15;34
28;United States;États-Unis;美国;美國;Estados Unidos;Estados Unidos;미국;米国;Vereinigte Staaten;45;18;24;17;17;14;46;46
29;Japan;Japon;日本;日本;Japón;Japão;일본;日本;Japan;24;26;28;27;28;30;45;19
30;Australia;Australie;澳大利亚;澳大利亞;Australia;Austrália;호주;オーストラリア;Australien;3;5;3;4;4;45;7;3
31;Brazil;Brésil;巴西;巴西;Brasil;Brasil;브라질;ブラジル;Brasilien;6;8;6;7;7;18;29;5
32;Greece;Grèce;希腊;希臘;Grecia;Grécia;그리스;ギリシャ;Griechenland;19;21;37;21;21;1;11;15
33;Mexico;Mexique;墨西哥;墨西哥;México;México;멕시코;メキシコ;Mexiko;26;28;25;29;30;13;38;23
34;Switzerland;Suisse;瑞士;瑞士;Suiza;Suíça;스위스;スイス;Schweiz;40;42;30;42;42;20;14;35
