1;Beijing;Pékin;北京;北京;14;﻿Beijing;﻿Pequim;﻿베이징;﻿北京;﻿Peking;1;﻿39.904;﻿116.408
2;Changchun;Changchun;长春;長春;28;Changchun;Changchun;장춘;チャンチュン;Changchun;1;43.817;125.323
3;Chengdu;Chengdu;成都;成都;29;Chengdu;Chengdu;청두;成都;Chengdu;1;30.659;104.065
4;Chongqing;Chongqing;重庆;重慶;30;Chongqing;Chongqing;충칭;重慶市;Chongqing;1;29.563;106.552
5;Dalian;Dalian;大连;大連;32;Dalian;Dalian;대련;大連;Dalian;1;38.914;121.615
6;Guangzhou;Canton;广州;廣州;51;Guangzhou;Guangzhou;광주;広州;Guangzhou;1;23.129;113.264
7;Nanjing;Nankin;南京;南京;101;Nanjing;Nanquim;난징;南京;Nanjing;1;32.06;118.796
8;Shanghai;Shanghai;上海;上海;111;Shanghai;Xangai;상하이;上海;Shanghai;1;31.23;121.474
9;Shenyang;Shenyang;沈阳;沈陽;118;Shenyang;Shenyang;심양;瀋陽;Shenyang;1;41.806;123.431
10;Shenzhen;Shenzhen;深圳;深圳;119;Shenzhen;Shenzhen;심천;シンセン;Shenzhen;1;22.543;114.058
11;Tianjin;Tianjin;天津;天津;128;Tianjin;Tianjin;천진;天津;Tianjin;1;39.084;117.201
12;Wuhan;Wuhan;武汉;武漢;133;Wuhan;Wuhan;무한;武漢;Wuhan;1;30.593;114.305
13;Xi'an;Xi'an;西安;西安;134;Xi'an;Xian;시안;西安;Xi'an;1;34.342;108.94
14;Montréal;Montréal;蒙特利尔;蒙特利爾;92;Montreal;Montréal;몬트리올;モントリオール;Montréal;2;45.509;-73.554
15;Toronto;Toronto;多伦多;多倫多;38;Toronto;Toronto;토론토;トロント;Toronto;2;43.653;-79.383
16;Paris;Paris;巴黎;巴黎;11;París;Paris;파리;パリ;Paris;3;48.857;2.352
17;London;Londres;伦敦;倫敦;77;Londres;Londres;런던;ロンドン;London;4;51.507;-0.127
18;Brussels;Bruxelles;布鲁塞尔;布魯塞爾;26;Bruselas;Bruxelas;브뤼셀;ブリュッセル;Brüssel;5;50.85;4.352
19;Charleroi;Charleroi;沙勒罗瓦;沙勒羅瓦;110;Charleroi;Charleroi;샬로;シャルルロア;Charleroi;5;50.411;4.445
20;Barcelona;Barcelone;巴塞罗那;巴塞羅那;12;Barcelona;Barcelona;바르셀로나;バルセロナ;Barcelona;6;41.388;2.17
21;Bilbao;Bilbao;毕尔巴鄂;畢爾巴鄂;16;Bilbao;Bilbao;빌바오;ビルバオ;Bilbao;6;43.257;-2.924
22;Madrid;Madrid;马德里;馬德里;82;Madrid;Madri;마드리드;マドリード;Madrid;6;40.417;-3.704
23;Seville;Séville;塞维利亚;塞維利亞;108;Sevilla;Sevilha;세비야;セビリア;Sevilla;6;37.388;-5.982
24;Moscow;Moscou;莫斯科;莫斯科;96;Moscú;Moscou;모스크바;モスクワ;Moskau;7;55.743;37.615
25;Vienna;Vienne;维也纳;維也納;131;Viena;Viena;비엔나;ウイーン;Wien;8;48.208;16.374
26;Berlin;Berlin;柏林;柏林;19;Berlín;Berlin;베를린;ベルリン;Berlin;9;52.519;13.406
27;Frankfurt am Main;Francfort-sur-le-Main;美因河畔法兰克福;美因河畔法蘭克福;89;Frankfurt del Meno;Frankfurt;프랑크푸르트;フランクフルトアムマイン;Frankfurt am Main;9;50.111;8.682
28;Hamburg;Hambourg;汉堡;漢堡;52;Hamburgo;Hamburgo;함부르크;ハンブルク;Hamburg;9;53.551;9.994
29;Hannover;Hanovre;汉诺威;漢諾威;54;Hannover;Hanover;하노버;ハノーバー;Hannover;9;52.376;9.732
30;Munich;Munich;慕尼黑;慕尼黑;98;Munich;Munique;뮌헨;ミュンヘン;München;9;48.137;11.577
31;Nuremberg;Nuremberg;纽伦堡;紐倫堡;103;Nuremberg;Nuremberg;뉘른베르크;ニュルンベルク;Nürnberg;9;49.452;11.077
32;Stuttgart;Stuttgart;斯图加特;斯圖加特;123;Stuttgart;Stuttgart;슈투트가르트;シュトゥットガルト;Stuttgart;9;48.775;9.182
33;Yerevan;Erevan;埃里温;埃里溫;3;Yerevan;Yerevan;예레반;エレバン;Yerevan;10;40.183;44.517
34;Amsterdam;Amsterdam;阿姆斯特丹;阿姆斯特丹;5;Amsterdam;Amsterdã;암스테르담;アムステルダム;Amsterdam;11;52.37;4.895
35;Rotterdam;Rotterdam;鹿特丹;鹿特丹;81;Rotterdam;Roterdã;로테르담;ロッテルダム;Rotterdam;11;51.924;4.482
36;Sofia;Sofia;索非亚;索非亞;125;Sofía;Sofia;소피아;ソフィア;Sofia;12;42.696;23.326
37;Prague;Prague;布拉格;布拉格;24;Praga;Praga;프라하;プラハ;Prag;13;50.076;14.438
38;Rome;Rome;罗马;羅馬;78;Roma;Roma;로마;ローマ;Rom;14;41.891;12.494
39;Milan;Milan;米兰;米蘭;93;Milán;Milão;밀라노;ミラノ;Milan;14;45.465;9.187
40;Turin;Turin;都灵;都靈;37;Turín;Turin;토리노;トゥーリン;Turin;14;45.071;7.684
41;Hong Kong;Hong Kong;香港;香港;135;Hong Kong;Hong Kong;홍콩;香港;Hong Kong;15;22.396;114.109
42;Busan;Busan;釜山;釜山;43;Busan;Busan;부산;釜山;Busan;16;35.18;129.076
43;Daegu;Daegu;大邱;大邱;33;Daegu;Daegu;대구;大邱;Daegu;16;35.871;128.601
44;Daejeon;Daejeon;大田;大田;34;Daejeon;Daejeon;대전;大田;Daejeon;16;36.35;127.385
45;Gwangju;Gwangju;光州;光州;50;Gwangju;Gwangju;광주;光州;Gwangju;16;35.16;126.853
46;Seoul;Séoul;首尔;首爾;120;Seúl;Seul;서울;ソウル;Seoul;16;37.567;126.978
47;Kaohsiung;Kaohsiung;高雄;高雄;45;Kaohsiung;Kaohsiung;가오슝;高雄;Kaohsiung;17;23.011;120.666
48;Taipei;Taipei;台北;台北;127;Taipei;Taipei;타이페이;台北;Taipei;17;25.091;121.56
49;Bangkok;Bangkok;曼谷;曼谷;86;Bangkok;Bangkok;방콕;バンコク;Bangkok;18;13.752;100.494
50;Helsinki;Helsinki;赫尔辛基;赫爾辛基;55;Helsinki;Helsinque;헬싱키;ヘルシンキ;Helsinki;19;60.17;24.939
51;Ankara;Ankara;安卡拉;安卡拉;6;Ankara;Ancara;앙카라;アンカラ;Ankara;20;39.921;32.854
52;Izmir;Izmir;伊兹密尔;伊茲密爾;145;Izmir;Esmirna;이즈미르;イズミル;Izmir;20;38.419;27.129
53;Adana;Adana;阿达纳;阿達納;1;Adana;Adana;아다;アダナ;Adana;20;37;35.321
54;Bursa;Bursa;布尔萨;布爾薩;21;Bolsa;Bursa;부르사;ブルサ;Bursa;20;40.267;29.063
55;Istanbul;Istanbul;伊斯坦布尔;伊斯坦布爾;144;Estanbul;Istambul;이스탄불;イスタンブール;Istanbul;20;41.005;28.977
56;Copenhagen;Copenhague;哥本哈根;哥本哈根;46;Copenhague;Copenhague;코펜하겐;コペンハーゲン;Kopenhagen;21;55.676;12.568
57;Lisbon;Lisbonne;里斯本;里斯本;73;Lisboa;Lisboa;리스본;リスボン;Lissabon;22;38.725;-9.15
58;Porto;Porto;波尔图;波爾圖;18;Porto;Porto;포르투;ポルト;Porto;22;41.15;-8.61
59;Warsaw;Varsovie;华沙;華沙;57;Varsovia;Varsóvia;바르샤바;ワルシャワ;Warschau;23;52.23;21.012
60;Oslo;Oslo;奥斯陆;奧斯陸;9;Oslo;Oslo;오슬로;オスロ;Oslo;24;59.914;10.752
61;Budapest;Budapest;布达佩斯;布達佩斯;22;Budapest;Budapeste;부다페스트;ブダペスト;Budapest;25;47.498;19.04
